   Ion         dE/dx       dE/dx     Projected   Longitudinal   Lateral
  Energy       Elec.      Nuclear      Range      Straggling   Straggling
  (MeV/u)     (MeV/um)   (MeV/um)      (um)          (um)        (um)
------------  ---------- ----------- -----------  -----------  -----------
2.8125e+00   6.935E-01  4.939E-04   49.45E+00	  1.66E+00     6325E-04
3.1250e+00   6.519E-01  4.502E-04   56.88E+00	  1.97E+00     6784E-04
3.4375e+00   6.161E-01  4.139E-04   64.77E+00	  2.26E+00     7276E-04
3.7500e+00   5.850E-01  3.833E-04   73.09E+00	  2.56E+00     7799E-04
4.0625e+00   5.576E-01  3.572E-04   81.84E+00	  2.84E+00     8353E-04
4.3750e+00   5.331E-01  3.345E-04   91.01E+00	  3.13E+00     8936E-04
5.0000e+00   4.912E-01  2.972E-04  110.55E+00	  4.18E+00     1.02E+00
5.6250e+00   4.563E-01  2.677E-04  131.66E+00	  5.15E+00     1.15E+00
6.2500e+00   4.265E-01  2.437E-04  154.32E+00	  6.07E+00     1.30E+00
6.8750e+00   4.007E-01  2.239E-04  178.51E+00	  6.98E+00     1.45E+00
7.5000e+00   3.779E-01  2.072E-04  204.20E+00	  7.87E+00     1.62E+00
8.1250e+00   3.576E-01  1.929E-04  231.39E+00	  8.77E+00     1.79E+00
8.7500e+00   3.393E-01  1.806E-04  260.09E+00	  9.67E+00     1.97E+00
9.3750e+00   3.228E-01  1.698E-04  290.30E+00	 10.59E+00     2.17E+00
1.0000e+01   3.077E-01  1.602E-04  322.03E+00	 11.51E+00     2.37E+00
1.0625e+01   2.938E-01  1.518E-04  355.28E+00	 12.44E+00     2.57E+00
1.1250e+01   2.811E-01  1.442E-04  390.07E+00	 13.39E+00     2.79E+00
1.2500e+01   2.584E-01  1.312E-04  464.27E+00	 17.04E+00     3.26E+00
1.4062e+01   2.343E-01  1.180E-04  565.87E+00	 22.31E+00     3.89E+00
1.5625e+01   2.141E-01  1.073E-04  677.48E+00	 27.36E+00     4.58E+00
1.7188e+01   1.968E-01  9.851E-05  799.25E+00	 32.36E+00     5.32E+00
1.8750e+01   1.821E-01  9.108E-05  931.27E+00	 37.40E+00     6.13E+00
2.0312e+01   1.694E-01  8.473E-05    1.07E+03	 42.50E+00     7.01E+00
2.1875e+01   1.585E-01  7.925E-05    1.23E+03	 47.70E+00     7.94E+00
2.3438e+01   1.491E-01  7.446E-05    1.39E+03	 52.99E+00     8.93E+00
2.5000e+01   1.410E-01  7.024E-05    1.56E+03	 58.38E+00     9.99E+00
2.8125e+01   1.279E-01  6.314E-05    1.93E+03	 78.71E+00    12.27E+00
3.1250e+01   1.177E-01  5.739E-05    2.34E+03	 97.64E+00    14.76E+00
3.4375e+01   1.089E-01  5.263E-05    2.78E+03	115.99E+00    17.46E+00
3.7500e+01   1.015E-01  4.864E-05    3.26E+03	134.17E+00    20.36E+00
4.0625e+01   9.515E-02  4.523E-05    3.77E+03	152.35E+00    23.45E+00
