   Ion       dE/dx      dE/dx     Projected   Longitudinal   Lateral
  Energy     Elec.      Nuclear     Range     Straggling    Straggling
  (MeV)     (MeV/um)    (MeV/um)    (um)         (um)          (um)
---------- ---------- ----------  ----------  ------------  -----------
   1.60E+03   2.088E-04  2.523E-08    6.02E+06   207.84E+03   104.22E+03
   1.70E+03   2.079E-04  2.384E-08    6.50E+06   218.88E+03   110.78E+03
   1.80E+03   2.073E-04  2.260E-08    6.98E+06   229.47E+03   117.20E+03
   2.00E+03   2.064E-04  2.048E-08    7.95E+06   267.53E+03   129.67E+03
   2.25E+03   2.060E-04  1.834E-08    9.16E+06   318.19E+03   144.56E+03
   2.50E+03   2.061E-04  1.662E-08   10.37E+06   361.90E+03   158.75E+03
   2.75E+03   2.065E-04  1.520E-08   11.58E+06   400.80E+03   172.27E+03
   3.00E+03   2.071E-04  1.401E-08   12.79E+06   436.09E+03   185.18E+03
   3.25E+03   2.079E-04  1.299E-08   14.00E+06   468.52E+03   197.54E+03
   3.50E+03   2.088E-04  1.212E-08   15.20E+06   498.63E+03   209.40E+03
   3.75E+03   2.097E-04  1.136E-08   16.39E+06   526.78E+03   220.78E+03
   4.00E+03   2.107E-04  1.069E-08   17.58E+06   553.28E+03   231.74E+03
   4.50E+03   2.127E-04  9.575E-09   19.94E+06   646.73E+03   252.49E+03
   5.00E+03   2.147E-04  8.673E-09   22.28E+06   726.86E+03   271.88E+03
   5.50E+03   2.167E-04  7.930E-09   24.59E+06   797.72E+03   290.09E+03
   6.00E+03   2.187E-04  7.307E-09   26.89E+06   861.67E+03   307.27E+03
   6.50E+03   2.206E-04  6.777E-09   29.17E+06   920.19E+03   323.54E+03
   7.00E+03   2.224E-04  6.321E-09   31.42E+06   974.33E+03   339.00E+03
   8.00E+03   2.258E-04  5.575E-09   35.88E+06     1.16E+06   367.84E+03
   9.00E+03   2.290E-04  4.990E-09   40.28E+06     1.32E+06   394.34E+03
  10.00E+03   2.319E-04  4.519E-09   44.62E+06     1.45E+06   418.88E+03
